,fiyat,m2_brut,m2_net,bulundugu_kat,kat_sayisi,banyo_sayisi,aidat,oda,salon,ilce_Arnavutköy,ilce_Ataşehir,ilce_Avcılar,ilce_Bahçelievler,ilce_Bakırköy,ilce_Bayrampaşa,ilce_Bağcılar,ilce_Başakşehir,ilce_Beykoz,ilce_Beylikdüzü,ilce_Beyoğlu,ilce_Beşiktaş,ilce_Büyükçekmece,ilce_Esenler,ilce_Esenyurt,ilce_Eyüpsultan,ilce_Fatih,ilce_Gaziosmanpaşa,ilce_Güngören,ilce_Kadıköy,ilce_Kartal,ilce_Kağıthane,ilce_Küçükçekmece,ilce_Maltepe,ilce_Pendik,ilce_Sancaktepe,ilce_Sarıyer,ilce_Silivri,ilce_Sultanbeyli,ilce_Sultangazi,ilce_Tuzla,ilce_Zeytinburnu,ilce_Çatalca,ilce_Çekmeköy,ilce_Ümraniye,ilce_Üsküdar,ilce_Şile,ilce_Şişli,bina_yasi_11-15 arası,bina_yasi_16-20 arası,bina_yasi_21-25 arası,bina_yasi_26-30 arası,bina_yasi_31 ve üzeri,bina_yasi_5-10 arası,isitma_Doğalgaz Sobası,isitma_Elektrikli Radyatör,isitma_Fancoil Ünitesi,isitma_Kat Kaloriferi,isitma_Klima,isitma_Merkezi,isitma_Merkezi (Pay Ölçer),isitma_Soba,isitma_VRV,isitma_Yerden Isıtma,isitma_Yok,balkon_Yok,esyali_Hayır,kullanim_durumu_Kiracılı,kullanim_durumu_Mülk Sahibi,site_icerisinde_Hayır,kimden_Sahibinden,kimden_İnşaat Firmasından,yaka_Avrupa,merkeze_yakin_Hayır,luks_mu_Hayır,yukseklik_ort-yük,yukseklik_yüksek,yukseklik_çok-yük,arakat_mi_Hayır
23,15000.0,117.0,90.0,14,31,1,800.0,2.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0
24,6000.0,70.0,65.0,4,7,1,250.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0
25,8000.0,90.0,75.0,2,5,1,75.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0
26,5000.0,125.0,112.0,3,6,2,180.0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0
27,9000.0,90.0,68.0,1,4,1,50.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0
28,10000.0,110.0,90.0,3,7,2,80.0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0
29,5250.0,60.0,55.0,4,4,1,35.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,1
30,7000.0,96.0,60.0,10,11,1,710.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0
31,6650.0,75.0,69.0,2,12,1,540.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
32,7500.0,62.0,55.0,0,9,1,500.0,1.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
