,aciklama,ilce,mahalle,fiyat,m2_brut,m2_net,oda_sayisi,bina_yasi,bulundugu_kat,kat_sayisi,isitma,banyo_sayisi,balkon,esyali,kullanim_durumu,site_icerisinde,aidat,kimden,yaka
55,*tek yetki̇li̇* heybeli̇ etabi 1+1 ki̇ralik tüm alternati̇fler,Maltepe,Çınar Mh.,9000.0,60.0,40.0,1+1,0,16,24,Merkezi,1,Var,Hayır,Boş,Evet,,Emlak Ofisinden,Anadolu
56,feneryolu'nda i̇çi̇ yeni̇lenmi̇ş ki̇ralik 2+1 dai̇re,Kadıköy,Zühtüpaşa Mh.,9000.0,90.0,68.0,2+1,31 ve üzeri,1,4,Doğalgaz Sobası,1,Var,Hayır,Boş,Hayır,50.0,Emlak Ofisinden,Anadolu
57,kordonboyu si̇te i̇çi̇nde i̇smai̇l selçuk'tan ki̇ralik dai̇re 3+1,Kartal,Kordonboyu Mah.,8500.0,135.0,115.0,3+1,21-25 arası,8,11,Doğalgaz (Kombi),1,Var,Hayır,Kiracılı,Evet,,Emlak Ofisinden,Anadolu
58,ataşehi̇r mi̇gros metropol i̇stanbul gardenya tadi̇latli 4+1 ki̇ralik,Ataşehir,Atatürk Mh.,16000.0,190.0,150.0,4+1,16-20 arası,Bahçe Katı,11,Merkezi (Pay Ölçer),2,Var,Hayır,Kiracılı,Evet,,Emlak Ofisinden,Anadolu
59,eşyalı 3+1 kiralık daire,Ümraniye,İnkılap Mh.,10000.0,110.0,90.0,3+1,4,3,7,Doğalgaz (Kombi),2,Var,Evet,Boş,Hayır,80.0,Sahibinden,Anadolu
60,"eminden,hastane yanı,1+1,karanlık oda yok,geniş mutfak,",Üsküdar,Zeynep Kamil Mah.,5250.0,60.0,55.0,1+1,31 ve üzeri,4,4,Doğalgaz (Kombi),1,Var,Hayır,Kiracılı,Hayır,35.0,Emlak Ofisinden,Anadolu
61,keller williams-nef sancaktepe ki̇ralik 2+1,Sancaktepe,Akpınar Mh.,7000.0,96.0,60.0,2+1,1,10,11,Merkezi (Pay Ölçer),1,Var,Hayır,Boş,Evet,710.0,Emlak Ofisinden,Anadolu
62,necmi̇ türk kartal soyak evreka ki̇ralik 2+1 büyük tip,Kartal,Soğanlık Yeni Mh.,6650.0,75.0,69.0,2+1,11-15 arası,2,12,Doğalgaz (Kombi),1,Var,Hayır,Boş,Evet,540.0,Emlak Ofisinden,Anadolu
63,ataşehir atapol konutlarında 1+1 bahçe katı ''full mobi̇lyali'',Ataşehir,Yenişehir Mh.,7500.0,62.0,55.0,1+1,16-20 arası,Bahçe Katı,9,Doğalgaz (Kombi),1,Var,Evet,Boş,Evet,500.0,Emlak Ofisinden,Anadolu
64,teknik yapı concord i̇stanbul projesi'nde full eşyalı 1+1 daire,Kadıköy,Dumlupınar Mh.,12000.0,60.0,44.0,1+1,5-10 arası,8,23,Merkezi,1,Yok,Hayır,Boş,Evet,,Emlak Ofisinden,Anadolu
