,aciklama,ilce,mahalle,fiyat,m2_brut,m2_net,oda_sayisi,bina_yasi,bulundugu_kat,kat_sayisi,isitma,banyo_sayisi,balkon,esyali,kullanim_durumu,site_icerisinde,aidat,kimden,yaka
3360,kayaşehir 18.bölge orta katta 92m2 kiralık 2+1 daire,Başakşehir,Kayabaşı Mh.,8800.0,92.0,80.0,2+1,4,4,8,Merkezi (Pay Ölçer),1,Var,,Boş,Evet,,Emlak Ofisinden,Avrupa
3361,turyap'tan eşyali 2+1 ki̇ralik dai̇re (furnished rental),Başakşehir,Başakşehir Mh.,13500.0,146.0,126.0,2+1,4,15,20,Merkezi (Pay Ölçer),2,Var,Evet,Boş,Evet,780.0,Emlak Ofisinden,Avrupa
3362,turyaptan kiralik daire avrupa konutlari atakent 4,Küçükçekmece,İnönü Mh.,9000.0,105.0,85.0,2+1,2,3,12,Merkezi,1,Var,Hayır,Boş,Evet,,Emlak Ofisinden,Avrupa
3363,gültepe'de talatpaşa cadde üzeri̇nde 2+1 mobi̇lyali ki̇ralik dai̇re,Kağıthane,Gültepe Mh.,7000.0,120.0,100.0,2+1,16-20 arası,4,6,Doğalgaz (Kombi),1,Yok,Evet,Boş,Hayır,,Emlak Ofisinden,Avrupa
3364,ybk'dan trump towers'in arkasinda full eşyali 2+1 dai̇re,Şişli,Kuştepe Mh.,9250.0,85.0,80.0,2+1,5-10 arası,1,5,Doğalgaz (Kombi),1,Yok,Evet,Kiracılı,Hayır,250.0,Emlak Ofisinden,Avrupa
3365,sahi̇bi̇nden 3+1 155 m2 dumankaya konsept te ki̇ralik dai̇re,Küçükçekmece,Atakent Mah.,13000.0,155.0,155.0,3+1,4,2,9,Merkezi (Pay Ölçer),2,Var,Hayır,Mülk Sahibi,Evet,707.0,Sahibinden,Avrupa
3366,halkali merkezde 4.kat dai̇re esyali 2+1,Küçükçekmece,Halkalı Merkez Mh.,3500.0,90.0,80.0,2+1,5-10 arası,Çatı Katı,4,Doğalgaz (Kombi),1,Var,Evet,Boş,Hayır,,Emlak Ofisinden,Avrupa
3367,1+0 sıfır yapılı esyalı faturalar dahıl merkezı konum da,Zeytinburnu,Veliefendi Mah.,3750.0,25.0,20.0,Stüdyo (1+0),26-30 arası,3,5,Doğalgaz (Kombi),1,Yok,Evet,Boş,Hayır,,Emlak Ofisinden,Avrupa
3368,1+2 sıfır daire /açıklama okuyabilirsiniz aramaktan önce,Küçükçekmece,Söğütlü Çeşme Mh.,13800.0,102.0,71.0,2+1,0,6,30 ve üzeri,Yerden Isıtma,2,Var,Evet,Boş,Hayır,520.0,Emlak Ofisinden,Avrupa
3369,metroya 5 daki̇ka 1+1 balkonlu çi̇ft cephe oturuma hazir,Kağıthane,Çeliktepe Mh.,4700.0,65.0,60.0,1+1,26-30 arası,1,4,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,20.0,Emlak Ofisinden,Avrupa
3370,turyap'tan si̇li̇vri̇ni̇n yükselen değeri̇ ki̇ptaş-4 ki̇ralik 2+1 dai̇re,Silivri,Alipaşa Mh.,2700.0,88.0,78.0,2+1,0,4,7,Merkezi (Pay Ölçer),1,Var,Hayır,Boş,Evet,300.0,Emlak Ofisinden,Avrupa
3371,adi̇l&aydin emlak'tan arnavutköy'de bahçeli̇ sempati̇k 2+1,Beşiktaş,Arnavutköy Mh.,12000.0,75.0,70.0,2+1,31 ve üzeri,Bahçe Katı,3,Doğalgaz (Kombi),1,Yok,Hayır,Kiracılı,Hayır,,Emlak Ofisinden,Avrupa
3372,i̇nnovi̇a 3 havuz cephe arakat satilik 2+1 dai̇re,Esenyurt,Yeşilkent Mh.,5000.0,100.0,95.0,2+1,5-10 arası,14,28,Merkezi (Pay Ölçer),2,Var,Hayır,Boş,Evet,,Emlak Ofisinden,Avrupa
3373,turyap'tan şelale evleri̇n'de ki̇ralik 3+1 125 m2 dai̇re,Kağıthane,Merkez Mah.,10500.0,125.0,115.0,3+1,11-15 arası,9,12,Doğalgaz (Kombi),2,Var,Hayır,Boş,Evet,500.0,Emlak Ofisinden,Avrupa
3374,kordon i̇stanbul 1+1 65m2 ki̇ralik güncel boş dai̇re vadistanbul,Kağıthane,Hamidiye Mah.,9000.0,65.0,45.0,1+1,0,7,11,Merkezi (Pay Ölçer),1,Yok,Hayır,Boş,Evet,,Emlak Ofisinden,Avrupa
3375,atakent dumankaya mi̇ks te 2+1 ful eşyali göl manzarali ki̇ralik,Küçükçekmece,Atakent Mah.,11000.0,98.0,80.0,2+1,5-10 arası,15,30 ve üzeri,Merkezi (Pay Ölçer),1,Yok,Evet,Kiracılı,Evet,,Emlak Ofisinden,Avrupa
3376,şanli emlak'tan akşemsetti̇n caddesi̇nde bakimli ki̇ralik ofi̇s,Fatih,Akşemsettin Mh.,10000.0,105.0,95.0,3+1,31 ve üzeri,2,5,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,,Emlak Ofisinden,Avrupa
3377,sifir si̇te'de sosyal faali̇yetli̇ uygun ki̇ralik dai̇reler !,Esenyurt,Namık Kemal Mh.,6000.0,95.0,80.0,2+1,0,5,30 ve üzeri,Merkezi (Pay Ölçer),1,Var,Hayır,Boş,Evet,,Emlak Ofisinden,Avrupa
3378,adnan kahveci̇'de yabanciya uygun full eşyali 2+1 dai̇re,Beylikdüzü,Adnan Kahveci Mah.,11000.0,120.0,95.0,2+1,5-10 arası,3,6,Merkezi (Pay Ölçer),2,Var,Evet,Mülk Sahibi,Evet,280.0,Emlak Ofisinden,Avrupa
3379,yeni̇mahalle si̇te'de ki̇ralik 2+1 dai̇re,Bakırköy,Sakızağacı Mh.,5500.0,85.0,74.0,2+1,31 ve üzeri,1,15,Merkezi,1,Var,Hayır,Boş,Evet,75.0,Emlak Ofisinden,Avrupa
3380,bebek'de sahi̇le yürüme mesafesi̇nde full mobi̇lyali 2+1,Beşiktaş,Bebek Mah.,15000.0,80.0,70.0,1+1,31 ve üzeri,Yüksek Giriş,4,Merkezi,1,Yok,Hayır,Boş,Hayır,,Emlak Ofisinden,Avrupa
3381,"deprem sonrasi bi̇nada, komple eşyali, çok ferah 3+1 3.kat",Bahçelievler,Yenibosna Merkez Mah.,6500.0,125.0,110.0,3+1,11-15 arası,3,3,Doğalgaz (Kombi),1,Var,Evet,Boş,Hayır,,Emlak Ofisinden,Avrupa
3382,hadimköy toki̇'de 2+1 ki̇ralik dai̇re,Arnavutköy,Hadımköy Mh.,3300.0,95.0,85.0,2+1,5-10 arası,4,10,Doğalgaz (Kombi),1,Var,Hayır,Boş,Evet,,Emlak Ofisinden,Avrupa
3383,bakırköy sakızağacı mh. eşyali şik 2.kat 2+1 daire,Bakırköy,Sakızağacı Mh.,8500.0,80.0,75.0,2+1,31 ve üzeri,2,5,Doğalgaz (Kombi),1,Yok,Evet,Kiracılı,Hayır,50.0,Emlak Ofisinden,Avrupa
3384,avcılar modern konaklarında otoparklı sıfır 2+1,Avcılar,Cihangir Mah.,8250.0,120.0,95.0,2+1,0,2,5,Doğalgaz (Kombi),2,Var,Hayır,Boş,Evet,350.0,Sahibinden,Avrupa
3385,fati̇h balat'ta ki̇ralik dai̇re,Fatih,Ayvansaray Mah.,7500.0,65.0,55.0,1+1,1,Giriş Katı,3,Doğalgaz (Kombi),1,Yok,Evet,Boş,Hayır,,Emlak Ofisinden,Avrupa
3386,cb star'dan tek yetki̇li̇ toki̇ hoşdere konutlarin'da 3+1 ki̇ralik,Esenyurt,Orhan Gazi Mah.,6500.0,120.0,95.0,3+1,0,1,5,Doğalgaz (Kombi),2,Var,Hayır,Boş,Hayır,,Emlak Ofisinden,Avrupa
3387,paradi̇se güneşli̇'de 2+1 açik cephe arakat ki̇ralik lüks dai̇re,Bağcılar,Yenimahalle Mah.,8500.0,110.0,80.0,2+1,3,9,14,Merkezi (Pay Ölçer),1,Var,Hayır,Boş,Evet,,Emlak Ofisinden,Avrupa
3388,bakirköy'de sahi̇le yakin temi̇z-taşinmaya hazir 3+1 ki̇ralik dai̇re,Bakırköy,Sakızağacı Mh.,7000.0,125.0,115.0,3+1,26-30 arası,3,5,Doğalgaz (Kombi),1,Var,Hayır,Kiracılı,Hayır,,Emlak Ofisinden,Avrupa
3389,eyüp si̇lahtarağa 2+1 lüx eşyali dai̇re 90m2 2+1,Gaziosmanpaşa,Pazariçi Mh.,7500.0,100.0,90.0,2+1,0,Giriş Katı,5,Doğalgaz (Kombi),1,Yok,Evet,Boş,Hayır,50.0,Emlak Ofisinden,Avrupa
3390,torkam e5 ki̇ralik 1+1 daire balkonlu daire/ofis,Küçükçekmece,Kartaltepe Mah.,7000.0,55.0,45.0,1+1,0,3,3,Merkezi (Pay Ölçer),1,Var,Hayır,Boş,Evet,,Sahibinden,Avrupa
3391,cebeci̇'de 3+1 105 m2 bahçe kati ki̇ralik sifir dai̇re,Sultangazi,Cebeci Mah.,3000.0,120.0,105.0,3+1,0,Bahçe Katı,5,Doğalgaz (Kombi),1,Yok,Hayır,Boş,Hayır,,Emlak Ofisinden,Avrupa
3392,tek yetki̇! 1+1 çi̇ft terasli dai̇re!,Eyüpsultan,Göktürk Merkez Mh.,7500.0,85.0,80.0,1+1,5-10 arası,Çatı Katı,5,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,,Emlak Ofisinden,Avrupa
3393,kiralık daire,Fatih,Koca Mustafapaşa Mh.,6000.0,75.0,70.0,2+1,26-30 arası,1,4,Doğalgaz (Kombi),1,Var,,Boş,Hayır,,Sahibinden,Avrupa
3394,metroya yurume 5 dakika 1+1 55 m2 sifir daire sifir esyali,Güngören,Merkez Mah.,6000.0,65.0,55.0,1+1,4,Yüksek Giriş,3,Doğalgaz (Kombi),1,Yok,Evet,Boş,Hayır,,Emlak Ofisinden,Avrupa
3395,si̇li̇vri̇ turyap tan yorulmaz saraylarinda ki̇ralik 3+1 dai̇reler,Silivri,Yeni Mah.,4500.0,130.0,120.0,3+1,2,1,4,Merkezi (Pay Ölçer),2,Var,Hayır,Boş,Evet,480.0,Emlak Ofisinden,Avrupa
3396,si̇li̇vri̇ toki̇ 1. etap 3+1 kiralık dairesi,Silivri,Alipaşa Mh.,3500.0,115.0,98.0,3+1,0,1,4,Merkezi (Pay Ölçer),1,Var,Hayır,Boş,Evet,200.0,Sahibinden,Avrupa
3397,güngören haznedarda özgürden memura ve kurumsal çalişana ki̇ralik,Güngören,Haznedar Mah.,3650.0,110.0,105.0,3+1,31 ve üzeri,1,5,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,,Emlak Ofisinden,Avrupa
3398,sahibinden kiralık daire,Silivri,Kurfallı Mh.,1000.0,60.0,60.0,1+1,16-20 arası,2,4,Doğalgaz (Kombi),1,Yok,,Boş,Hayır,,Sahibinden,Avrupa
3399,sefaköy gültepe mah beşyolda eşyali yabanci uyumlu,Küçükçekmece,Cennet Mah.,7000.0,95.0,90.0,2+1,16-20 arası,4,4,Doğalgaz (Kombi),1,Var,Evet,Boş,Hayır,30.0,Emlak Ofisinden,Avrupa
3400,vi̇lla konsepti̇nde müstaki̇l deni̇ze sifir ki̇ralik 2+1 dai̇re!,Beylikdüzü,Gürpınar Mh.,12000.0,125.0,110.0,2+1,0,Yüksek Giriş,3,Doğalgaz (Kombi),2,Var,Hayır,Boş,Hayır,,Emlak Ofisinden,Avrupa
3401,3+1 yüksek gi̇ri̇ş sifir otoparkli lüx dai̇re,Avcılar,Denizköşkler Mh.,6350.0,115.0,105.0,3+1,0,Yüksek Giriş,4,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,,Sahibinden,Avrupa
3402,merterde merkezi konumda full eşyalı daire 7000 tl.,Güngören,Abdurrahman Nafiz Gürman Mh.,7000.0,115.0,100.0,2+1,26-30 arası,2,5,Doğalgaz (Kombi),1,Var,Evet,Boş,Hayır,20.0,Emlak Ofisinden,Avrupa
3403,مشروع تيم بوينت شقه مفروشه1+1للايجار tempoint,Sultangazi,Yunus Emre Mah.,8000.0,100.0,75.0,1+1,0,8,20,Merkezi (Pay Ölçer),1,Var,Evet,Boş,Evet,750.0,Emlak Ofisinden,Avrupa
3404,başakşehi̇r 3 i̇stanbul hasbahçede ki̇ralik 3+1,Başakşehir,Başakşehir Mh.,13000.0,160.0,110.0,3+1,0,4,13,Merkezi (Pay Ölçer),2,Var,Hayır,Boş,Evet,,Emlak Ofisinden,Avrupa
3405,bosphorus ci̇ty de ki̇rali̇k full eşyali lüks 3+1 dai̇re,Küçükçekmece,Atakent Mah.,15000.0,141.0,135.0,3+1,5-10 arası,11,14,Doğalgaz (Kombi),1,Var,Evet,Boş,Evet,,Emlak Ofisinden,Avrupa
3406,█yapi-sat█ dörtyaka rezi̇dans 7.kat 2+1 96m² lüx ki̇ralik dai̇re,Esenler,Menderes Mah.,7500.0,96.0,73.0,2+1,0,7,17,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,,Emlak Ofisinden,Avrupa
3407,kağıthane ortabayır da birinci kat 1+1 bir harika daire,Kağıthane,Ortabayır Mh.,4000.0,75.0,65.0,1+1,16-20 arası,1,5,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,50.0,Emlak Ofisinden,Avrupa
3408,i̇ki katlı bahçeli müstakil evin üst katı - sahibinden,Silivri,Cumhuriyet Mah.,3500.0,110.0,100.0,2+1,21-25 arası,2,2,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,,Sahibinden,Avrupa
3409,beylikdüzü yakuplu eşyalı kiralık daire,Beylikdüzü,Yakuplu Mah.,7500.0,150.0,130.0,3+1,5-10 arası,4,4,Doğalgaz (Kombi),1,Var,Evet,Boş,Hayır,,Emlak Ofisinden,Avrupa
3410,kayaşehi̇r 1.bölgede aygün emlaktan ki̇ralik 2+1 75m2 dai̇re,Başakşehir,Kayabaşı Mh.,5500.0,75.0,70.0,2+1,5-10 arası,7,9,Merkezi (Pay Ölçer),1,Var,Hayır,Boş,Evet,220.0,Emlak Ofisinden,Avrupa
3411,gülbeyler emlak ki̇ralik dai̇re çatalca ki̇ptaş si̇tesi̇nde asansörl,Çatalca,Ferhatpaşa Mh.,4000.0,85.0,75.0,2+1,3,4,4,Doğalgaz (Kombi),1,Var,Hayır,Boş,Evet,290.0,Emlak Ofisinden,Avrupa
3412,basin ekspres toya next'te peyzaj manzarali ki̇ralik sifir 1+1,Bağcılar,15 Temmuz Mh.,6750.0,65.0,42.0,1+1,0,8,30 ve üzeri,Merkezi (Pay Ölçer),Yok,Var,Hayır,Boş,Evet,,Emlak Ofisinden,Avrupa
3413,yorum i̇stanbul evleri̇ full eşyali ki̇ralik 3+1 dai̇re,Bayrampaşa,Kocatepe Mah.,20000.0,135.0,110.0,3+1,5-10 arası,12,14,Merkezi (Pay Ölçer),2,Var,Evet,Boş,Evet,,Emlak Ofisinden,Avrupa
3414,kiralık 2+1 metro 5dk. güvenlikli otoparklı havuzlu site,Kağıthane,Merkez Mah.,10500.0,75.0,60.0,2+1,0,7,14,Merkezi (Pay Ölçer),1,Var,Hayır,Boş,Hayır,,Emlak Ofisinden,Avrupa
3415,barış mahallesi adakent merkezde 3+1 kiralık daire,Beylikdüzü,Barış Mh.,8000.0,150.0,125.0,3+1,21-25 arası,8,14,Doğalgaz (Kombi),2,Yok,Hayır,Boş,Evet,100.0,Emlak Ofisinden,Avrupa
3416,batişehi̇r alf alli̇ance'da ki̇ralik 4.5+1 dai̇re,Bağcılar,Göztepe Mh.,15000.0,251.0,185.0,4.5+1,5-10 arası,3,6,Merkezi (Pay Ölçer),2,Var,Hayır,Boş,Evet,,Emlak Ofisinden,Avrupa
3417,önder emlaktan çatalca ki̇ptaş (eşyali) ki̇ralik dai̇re,Çatalca,Ferhatpaşa Mh.,4500.0,85.0,66.0,2+1,0,Bahçe Katı,6,Doğalgaz (Kombi),1,Var,Evet,Boş,Evet,290.0,Emlak Ofisinden,Avrupa
3418,osmanbey de terasli asonsörlü eşyali dai̇re,Şişli,Cumhuriyet Mah.,12500.0,80.0,75.0,2+1,16-20 arası,6,6,Doğalgaz (Kombi),1,Var,Evet,Boş,Hayır,,Emlak Ofisinden,Avrupa
3419,sifir bi̇na lüx eşyali 1+1 dai̇reler faturalar dahi̇l metro 7 dk,Şişli,Mecidiyeköy Mh.,7500.0,55.0,50.0,1+1,0,6,8,Merkezi,1,Var,Evet,Boş,Hayır,2.0,Emlak Ofisinden,Avrupa
3420,si̇li̇vri̇ ali̇paşa'da ki̇ptaş dördüncü etapta ki̇ralik dai̇re,Silivri,Alipaşa Mh.,3000.0,92.0,66.0,2+1,0,3,7,Merkezi (Pay Ölçer),1,Var,Hayır,Boş,Evet,315.0,Emlak Ofisinden,Avrupa
3421,samatya kiralık daire,Fatih,Koca Mustafapaşa Mh.,5500.0,110.0,90.0,2+1,31 ve üzeri,4,4,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,,Emlak Ofisinden,Avrupa
3422,mega venezi̇a 2+1 bahçe dubleks 144m²+teras 18m² ki̇ralik dai̇re,Gaziosmanpaşa,Karadeniz Mah.,15000.0,144.0,115.0,2+1,4,Bahçe Katı,24,Merkezi (Pay Ölçer),2,Var,Hayır,Boş,Evet,850.0,Emlak Ofisinden,Avrupa
3423,bahçeli̇evler merkezde ki̇ralik 4+2 şik dubleks dai̇re,Bahçelievler,Bahçelievler Mh.,9500.0,180.0,170.0,4+2,21-25 arası,5,5,Doğalgaz (Kombi),3,Var,Hayır,Boş,Hayır,75.0,Emlak Ofisinden,Avrupa
3424,atiş alanında yeni dairee yabanciya vermiyom,Esenler,Birlik Mah.,4800.0,90.0,85.0,2+1,4,3,3,Doğalgaz (Kombi),1,Var,,Boş,Hayır,,Sahibinden,Avrupa
3425,küçükköy emlakcim dan ki̇ralik 2+1,Gaziosmanpaşa,Fevzi Çakmak Mh.,4500.0,100.0,90.0,2+1,26-30 arası,1,3,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,,Emlak Ofisinden,Avrupa
3426,شقة مفروشة للأجار 1+1 قريبة من جامعة ألتن باش ومن محطة مترو,Bağcılar,Mahmutbey Mah.,7500.0,85.0,57.0,1+1,1,4,18,Yerden Isıtma,1,Var,Evet,Boş,Evet,648.0,Emlak Ofisinden,Avrupa
3427,halkali di̇van residance eşyali 2+1 ki̇ralik dai̇re,Küçükçekmece,İstasyon Mh.,7400.0,85.0,75.0,2+1,4,3,4,Merkezi (Pay Ölçer),1,Var,Evet,Boş,Evet,,Emlak Ofisinden,Avrupa
3428,ambarı merkezde bahçe katı 2+1,Avcılar,Ambarlı Mh.,4000.0,105.0,90.0,2+1,16-20 arası,Bahçe Katı,4,Doğalgaz (Kombi),1,Var,,Boş,Hayır,,Sahibinden,Avrupa
3429,beyoğlu örnektepe'de metrobüse 5 dk 2+1 95m2 eşyali dai̇re,Beyoğlu,Örnektepe Mh.,7000.0,95.0,90.0,2+1,16-20 arası,2,5,Doğalgaz (Kombi),1,Var,Evet,Mülk Sahibi,Hayır,30.0,Emlak Ofisinden,Avrupa
3430,sarıyer acarlar sitesinde 5+1 kiralık villa çatı dubleks,Sarıyer,Zekeriyaköy Mh.,18000.0,290.0,280.0,5+1,16-20 arası,Villa Tipi,2,Doğalgaz (Kombi),3,Var,Hayır,Kiracılı,Evet,,Emlak Ofisinden,Avrupa
3431,şi̇şli̇ ki̇ralik 2+1 boş dai̇re,Şişli,Halide Edip Adıvar Mh.,8500.0,120.0,100.0,2+1,5-10 arası,4,11,Merkezi (Pay Ölçer),1,Yok,Hayır,Boş,Evet,350.0,Emlak Ofisinden,Avrupa
3432,▀▄▀▄metropol'den mng blueboutique'de ki̇ralik 3+1 göl deni̇z manza,Küçükçekmece,Halkalı Merkez Mh.,8500.0,120.0,100.0,3+1,5-10 arası,4,20,Merkezi (Pay Ölçer),2,Var,Hayır,Boş,Evet,,Emlak Ofisinden,Avrupa
3433,vadi̇koru yetki̇li̇ emlak ofi̇si̇nden 1+1 bahçe kati boş güncel dai̇re,Sarıyer,Ayazağa Mh.,12000.0,81.0,53.0,1+1,2,Bahçe Katı,10,Merkezi (Pay Ölçer),1,Var,Hayır,Boş,Evet,,Emlak Ofisinden,Avrupa
3434,yunusemre'de 3+1 balkonlu lüks dai̇re,Esenyurt,Yunus Emre Mh.,4750.0,150.0,120.0,3+1,3,Yüksek Giriş,3,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,,Sahibinden,Avrupa
3435,tozkoparanda ki̇ralik 2+1 meetere cok yakin kombi̇li̇ dai̇re,Güngören,Tozkoparan Mah.,4100.0,80.0,75.0,2+1,31 ve üzeri,4,5,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,,Emlak Ofisinden,Avrupa
3436,beşi̇ktaş gayrettepe'de i̇çi̇ yeni̇lenmi̇ş şi̇ri̇n 1+1 ki̇ralik dai̇re,Beşiktaş,Gayrettepe Mah.,9000.0,60.0,45.0,1+1,26-30 arası,Yüksek Giriş,6,Merkezi,1,Yok,Hayır,Kiracılı,Hayır,,Emlak Ofisinden,Avrupa
3437,meydan ardıçlı balkonlu havuz ve şehir manzaralı kiralık 2+1,Esenyurt,Ardıçlı Mh.,6000.0,100.0,85.0,2+1,0,6,8,Doğalgaz (Kombi),2,Var,Hayır,Boş,Hayır,517.0,Sahibinden,Avrupa
3438,sefaköy i̇nönü mah.kiralik bekara 2+1 eşyalı daire 2000,Küçükçekmece,Halkalı Merkez Mh.,2000.0,90.0,85.0,2+1,21-25 arası,Bahçe Katı,8,Soba,1,Yok,Evet,Boş,Hayır,,Emlak Ofisinden,Avrupa
3439,altinemlaktan locamahalde ki̇ralik 1+1 ki̇ralik dai̇re,Zeytinburnu,Sümer Mh.,8000.0,74.0,65.0,1+1,0,6,15,Merkezi (Pay Ölçer),1,Var,Hayır,Boş,Evet,,Emlak Ofisinden,Avrupa
3440,başakşehi̇r emlak konut evleri̇ kule 1+1 eşyali ki̇ralik dai̇re,Başakşehir,Kayabaşı Mh.,7750.0,75.0,60.0,1+1,5-10 arası,19,30 ve üzeri,Merkezi (Pay Ölçer),1,Var,Evet,Boş,Evet,,Emlak Ofisinden,Avrupa
3441,"sahibinden nişantaşı valikonağı'na yakın geniş, ferah daire",Şişli,Meşrutiyet Mh.,13500.0,160.0,130.0,3+1,26-30 arası,1,5,Merkezi,2,Var,Hayır,Boş,Hayır,350.0,Sahibinden,Avrupa
3442,minibüs yolundaki cadde üstünde yeni binada ara kat sıfır daire,Şişli,Mecidiyeköy Mh.,7000.0,86.0,61.0,2+1,0,3,5,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,,Emlak Ofisinden,Avrupa
3443,şanli emlak'tan akşemsetti̇n caddesi̇nde bakimli ki̇ralik ofi̇s,Fatih,Akşemsettin Mh.,10000.0,105.0,95.0,3+1,31 ve üzeri,2,5,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,,Emlak Ofisinden,Avrupa
3444,akkoza koruda fulll eşyali bütün odalarda kli̇ma balkonlu ki̇rali̇k,Esenyurt,Koza Mh.,10000.0,170.0,130.0,3+1,5-10 arası,4,15,Merkezi (Pay Ölçer),1,Var,Evet,Boş,Evet,20.0,Emlak Ofisinden,Avrupa
3445,sky park 1 (3+1 dublex teraslı daire),Arnavutköy,Mareşal Fevzi Çakmak Mh.,9500.0,114.0,101.0,3+1,0,2,3,Yerden Isıtma,2,Var,Hayır,Boş,Hayır,,Sahibinden,Avrupa
3446,tuna mah. 2+1 95m2 masrafsız daire,Esenler,Tuna Mah.,3800.0,95.0,88.0,2+1,26-30 arası,2,4,Doğalgaz Sobası,1,Var,Hayır,Boş,Hayır,,Sahibinden,Avrupa
3447,yeni̇bosna çobançeşmede kullanişli ferah 1+1,Bahçelievler,Çobançeşme Mh.,3500.0,65.0,60.0,1+1,5-10 arası,Yüksek Giriş,5,Doğalgaz (Kombi),1,Yok,Hayır,Kiracılı,Hayır,,Sahibinden,Avrupa
3448,meci̇di̇yeköy gülbaharda 1+1 eşyali ki̇ralik dai̇re,Şişli,Gülbahar Mh.,6000.0,55.0,45.0,1+1,4,Çatı Katı,4,Doğalgaz (Kombi),1,Var,Evet,Boş,Hayır,,Emlak Ofisinden,Avrupa
3449,eşyali ki̇ralik 3+1 dai̇re,Eyüpsultan,Göktürk Merkez Mh.,15000.0,123.0,102.0,3+1,4,3,5,Doğalgaz (Kombi),2,Var,Evet,Boş,Hayır,120.0,Emlak Ofisinden,Avrupa
3450,orji̇n emlak'tan ka green si̇tesi̇ eşyali stüdyo dai̇re,Küçükçekmece,Halkalı Merkez Mh.,4000.0,38.0,25.0,Stüdyo (1+0),11-15 arası,15,18,Doğalgaz (Kombi),1,Var,Evet,Boş,Hayır,386.0,Emlak Ofisinden,Avrupa
3451,bayrampaşa bereç te ana cadde de ki̇ralik dai̇re i̇ki̇ çepheli̇,Bayrampaşa,Muratpaşa Mh.,5500.0,110.0,100.0,2+1,16-20 arası,3,3,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,50.0,Sahibinden,Avrupa
3452,kartaltepede altun gayrimenkulden aykent sitesinde oto parklı3+1,Bakırköy,Kartaltepe Mah.,9500.0,110.0,100.0,3+1,31 ve üzeri,1,5,Doğalgaz (Kombi),1,Var,Hayır,Boş,Evet,,Emlak Ofisinden,Avrupa
3453,bayan yanına bayan ev arkadaşı,Sultangazi,Esentepe Mah.,1750.0,90.0,85.0,2+1,5-10 arası,1,4,Doğalgaz (Kombi),1,Var,Evet,Kiracılı,Hayır,50.0,Sahibinden,Avrupa
3454,ki̇ralik 3+1 geni̇ş dai̇re,Beylikdüzü,Yakuplu Mah.,7500.0,165.0,150.0,3+1,16-20 arası,2,5,Doğalgaz (Kombi),2,Var,Evet,Mülk Sahibi,Hayır,100.0,Emlak Ofisinden,Avrupa
3455,gönül emlaktan bağcilar fevzi̇ çakmak mh 2+1 3. kat kiralık,Bağcılar,Fevzi Çakmak Mh.,3000.0,90.0,80.0,2+1,11-15 arası,3,3,Doğalgaz (Kombi),1,Yok,,Boş,Hayır,,Emlak Ofisinden,Avrupa
3456,si̇li̇vri̇ merkez otogar yani cadde üzeri̇ ki̇ralik eşyali 3+1 dai̇re,Silivri,Alibey Mah.,5000.0,140.0,125.0,3+1,16-20 arası,2,6,Doğalgaz (Kombi),2,Var,Evet,Boş,Hayır,,Emlak Ofisinden,Avrupa
3457,bayrampaşa yorum evleri̇ ki̇ralik havuz manzarali 1+1 dai̇re,Bayrampaşa,Kocatepe Mah.,7000.0,65.0,65.0,1+1,5-10 arası,13,18,Merkezi (Pay Ölçer),1,Var,Hayır,Boş,Hayır,467.0,Emlak Ofisinden,Avrupa
3458,odak'tan avcilar üni̇.mah. metrobüse 100metre 3+1 memura ki̇ralik,Avcılar,Üniversite Mh.,6000.0,135.0,120.0,3+1,11-15 arası,3,4,Doğalgaz (Kombi),1,Var,Hayır,Mülk Sahibi,Hayır,,Emlak Ofisinden,Avrupa
3459,göktürk te ki̇ralik 2+1 balkonlu apartman dai̇resi̇,Eyüpsultan,Göktürk Merkez Mh.,5900.0,85.0,75.0,2+1,5-10 arası,2,4,Doğalgaz (Kombi),1,Var,Hayır,Kiracılı,Hayır,,Emlak Ofisinden,Avrupa
3460,kiralık eşyalı 2+1,Gaziosmanpaşa,Kazım Karabekir Mh.,3500.0,90.0,80.0,2+1,16-20 arası,3,6,Doğalgaz (Kombi),1,Var,Evet,Boş,Hayır,25.0,Sahibinden,Avrupa
3461,ergül 'den regnum 'da 1+1 50 m2 eşyali ki̇ralik dai̇re,Esenyurt,Akevler Mh.,3800.0,50.0,40.0,1+1,11-15 arası,24,30 ve üzeri,Merkezi (Pay Ölçer),1,Yok,Evet,Boş,Evet,500.0,Emlak Ofisinden,Avrupa
