,ilce,fiyat,m2_brut,bina_yasi,bulundugu_kat,kat_sayisi,isitma,banyo_sayisi,balkon,esyali,site_icerisinde,kimden,yaka,oda,salon,merkeze_yakin,aidat_aralik,luks_mu
2688,Beşiktaş,10300.0,120.0,21-25 arası,6,6,Doğalgaz (Kombi),1,Var,Evet,Hayır,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,0 - 150,Hayır
2689,Şişli,10000.0,95.0,31 ve üzeri,3,4,Doğalgaz (Kombi),1,Var,Evet,Hayır,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,0 - 150,Hayır
2690,Sarıyer,4500.0,70.0,26-30 arası,0,5,Doğalgaz (Kombi),1,Yok,Hayır,Hayır,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,0 - 150,Hayır
2691,Zeytinburnu,16000.0,80.0,5-10 arası,5,10,Merkezi (Pay Ölçer),1,Var,Hayır,Evet,Emlak Ofisinden,Avrupa,1.0,1.0,Hayır,500 - 750,Hayır
2692,Zeytinburnu,4000.0,120.0,26-30 arası,1,4,Doğalgaz (Kombi),1,Var,Evet,Hayır,Sahibinden,Avrupa,2.0,1.0,Hayır,0 - 150,Hayır
2693,Esenyurt,7000.0,80.0,0-5 arası,2,31,Merkezi (Pay Ölçer),1,Var,Hayır,Evet,Emlak Ofisinden,Avrupa,1.0,1.0,Hayır,500 - 750,Hayır
2694,Şişli,8000.0,60.0,16-20 arası,0,5,Doğalgaz (Kombi),1,Var,Evet,Hayır,Emlak Ofisinden,Avrupa,1.0,1.0,Hayır,0 - 150,Hayır
2695,Şişli,10000.0,140.0,31 ve üzeri,2,9,Merkezi,1,Var,Hayır,Hayır,Emlak Ofisinden,Avrupa,3.0,1.0,Hayır,300 - 500,Hayır
2696,Arnavutköy,4250.0,90.0,0-5 arası,1,5,Doğalgaz (Kombi),1,Yok,Hayır,Hayır,Sahibinden,Avrupa,3.0,1.0,Hayır,0 - 150,Hayır
2697,Kağıthane,6250.0,100.0,0-5 arası,1,7,Doğalgaz (Kombi),1,Var,Hayır,Evet,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,300 - 500,Hayır
2698,Başakşehir,12000.0,140.0,0-5 arası,24,27,Merkezi (Pay Ölçer),2,Yok,Hayır,Evet,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,300 - 500,Evet
2699,Eyüpsultan,19000.0,145.0,5-10 arası,3,3,Merkezi (Pay Ölçer),2,Var,Hayır,Evet,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,300 - 500,Hayır
2700,Beylikdüzü,10000.0,185.0,11-15 arası,0,15,Doğalgaz (Kombi),2,Var,Evet,Hayır,Emlak Ofisinden,Avrupa,3.5,1.0,Hayır,150 - 300,Hayır
2701,Eyüpsultan,7500.0,100.0,21-25 arası,2,5,Doğalgaz (Kombi),1,Var,Evet,Hayır,Sahibinden,Avrupa,2.0,1.0,Evet,0 - 150,Hayır
2702,Bakırköy,15000.0,120.0,11-15 arası,0,4,Doğalgaz (Kombi),2,Yok,Hayır,Hayır,Emlak Ofisinden,Avrupa,3.0,1.0,Hayır,0 - 150,Evet
2703,Kağıthane,7000.0,85.0,5-10 arası,5,6,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,0 - 150,Hayır
2704,Fatih,8000.0,135.0,26-30 arası,0,5,Doğalgaz (Kombi),2,Yok,Hayır,Hayır,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,0 - 150,Hayır
2705,Bahçelievler,4000.0,70.0,21-25 arası,0,5,Doğalgaz (Kombi),1,Var,Evet,Hayır,Emlak Ofisinden,Avrupa,1.0,1.0,Evet,0 - 150,Hayır
2706,Bahçelievler,4000.0,90.0,26-30 arası,3,3,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,0 - 150,Hayır
2707,Eyüpsultan,7500.0,65.0,5-10 arası,7,12,Doğalgaz (Kombi),1,Yok,Hayır,Evet,Emlak Ofisinden,Avrupa,1.0,1.0,Hayır,300 - 500,Hayır
2708,Esenyurt,4000.0,100.0,0-5 arası,1,4,Doğalgaz (Kombi),2,Var,Hayır,Hayır,Sahibinden,Avrupa,2.0,1.0,Evet,0 - 150,Hayır
2709,Şişli,7000.0,60.0,0-5 arası,5,10,Doğalgaz (Kombi),1,Var,Evet,Hayır,Emlak Ofisinden,Avrupa,1.0,1.0,Hayır,0 - 150,Evet
2710,Güngören,8000.0,135.0,31 ve üzeri,5,5,Merkezi,1,Var,Hayır,Hayır,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,150 - 300,Hayır
2711,Bakırköy,15000.0,130.0,21-25 arası,0,4,Merkezi,2,Var,Hayır,Hayır,Emlak Ofisinden,Avrupa,3.0,1.0,Hayır,300 - 500,Hayır
2712,Beylikdüzü,7000.0,165.0,5-10 arası,1,5,Doğalgaz (Kombi),2,Var,Hayır,Hayır,Emlak Ofisinden,Avrupa,3.0,1.0,Hayır,150 - 300,Hayır
2713,Küçükçekmece,13000.0,122.0,5-10 arası,13,17,Merkezi (Pay Ölçer),1,Var,Hayır,Evet,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,500 - 750,Hayır
2714,Esenyurt,3900.0,95.0,5-10 arası,0,1,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Sahibinden,Avrupa,2.0,1.0,Hayır,0 - 150,Hayır
2715,Sultangazi,5000.0,80.0,5-10 arası,4,4,Doğalgaz (Kombi),1,Var,Evet,Hayır,Sahibinden,Avrupa,2.0,1.0,Hayır,0 - 150,Hayır
2716,Sarıyer,15000.0,175.0,21-25 arası,4,4,Merkezi (Pay Ölçer),2,Yok,Hayır,Evet,Emlak Ofisinden,Avrupa,3.0,1.0,Evet,300 - 500,Hayır
2717,Beyoğlu,4500.0,75.0,0-5 arası,0,4,Doğalgaz (Kombi),1,Yok,Hayır,Hayır,Emlak Ofisinden,Avrupa,1.0,1.0,Evet,0 - 150,Hayır
2718,Bağcılar,18500.0,160.0,5-10 arası,9,19,Merkezi (Pay Ölçer),2,Var,Evet,Evet,Emlak Ofisinden,Avrupa,3.0,1.0,Hayır,300 - 500,Hayır
2719,Eyüpsultan,12000.0,110.0,0-5 arası,1,4,Merkezi (Pay Ölçer),1,Var,Hayır,Evet,Emlak Ofisinden,Avrupa,3.0,1.0,Hayır,0 - 150,Hayır
2720,Küçükçekmece,3650.0,80.0,0-5 arası,0,3,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,0 - 150,Hayır
2721,Esenyurt,4000.0,80.0,0-5 arası,2,14,Merkezi (Pay Ölçer),1,Yok,Evet,Evet,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,300 - 500,Hayır
2722,Bahçelievler,12000.0,100.0,26-30 arası,2,5,Doğalgaz (Kombi),1,Yok,Evet,Hayır,Emlak Ofisinden,Avrupa,2.0,1.0,Evet,0 - 150,Hayır
2723,Şişli,7650.0,68.0,5-10 arası,1,7,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,0 - 150,Evet
2724,Beylikdüzü,18500.0,236.0,0-5 arası,3,12,Yerden Isıtma,2,Var,Hayır,Evet,Emlak Ofisinden,Avrupa,4.0,1.0,Hayır,300 - 500,Hayır
2725,Küçükçekmece,6000.0,47.0,5-10 arası,12,15,Merkezi (Pay Ölçer),1,Yok,Evet,Evet,Emlak Ofisinden,Avrupa,1.0,1.0,Hayır,500 - 750,Hayır
2726,Beşiktaş,12000.0,100.0,16-20 arası,1,3,Merkezi (Pay Ölçer),1,Var,Hayır,Hayır,Emlak Ofisinden,Avrupa,3.0,1.0,Hayır,0 - 150,Hayır
2727,Bakırköy,10500.0,160.0,21-25 arası,2,2,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Emlak Ofisinden,Avrupa,3.0,1.0,Hayır,0 - 150,Hayır
2728,Beyoğlu,20000.0,100.0,21-25 arası,3,6,Doğalgaz (Kombi),1,Yok,Evet,Hayır,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,0 - 150,Hayır
2729,Şişli,6500.0,60.0,0-5 arası,5,12,Merkezi,1,Yok,Evet,Hayır,Emlak Ofisinden,Avrupa,1.0,1.0,Hayır,0 - 150,Evet
2730,Esenyurt,5999.0,150.0,0-5 arası,5,6,Doğalgaz (Kombi),1,Var,Evet,Hayır,Emlak Ofisinden,Avrupa,3.0,1.0,Hayır,0 - 150,Hayır
2731,Eyüpsultan,13500.0,118.0,5-10 arası,1,5,Merkezi (Pay Ölçer),2,Yok,Hayır,Evet,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,0 - 150,Hayır
2732,Küçükçekmece,8000.0,100.0,5-10 arası,0,19,Yerden Isıtma,1,Var,Evet,Evet,Emlak Ofisinden,Avrupa,1.0,1.0,Hayır,300 - 500,Hayır
2733,Esenyurt,3850.0,100.0,5-10 arası,2,5,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Sahibinden,Avrupa,2.5,1.0,Hayır,0 - 150,Hayır
2734,Beylikdüzü,11500.0,115.0,0-5 arası,1,3,Merkezi (Pay Ölçer),2,Var,Hayır,Hayır,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,300 - 500,Hayır
2735,Kağıthane,7500.0,115.0,5-10 arası,4,4,Doğalgaz (Kombi),1,Var,Evet,Hayır,Sahibinden,Avrupa,2.0,1.0,Evet,0 - 150,Hayır
2736,Bahçelievler,8000.0,90.0,0-5 arası,0,4,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,0 - 150,Hayır
2737,Şişli,7000.0,40.0,11-15 arası,2,5,Doğalgaz (Kombi),1,Yok,Evet,Hayır,Emlak Ofisinden,Avrupa,1.0,0.0,Evet,0 - 150,Hayır
2738,Beşiktaş,16250.0,95.0,26-30 arası,7,7,Merkezi,1,Var,Hayır,Evet,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,750 - 1000,Hayır
2739,Beşiktaş,13000.0,85.0,11-15 arası,2,2,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,0 - 150,Hayır
2740,Kağıthane,8000.0,85.0,5-10 arası,1,5,Doğalgaz (Kombi),1,Var,Evet,Hayır,Emlak Ofisinden,Avrupa,3.0,1.0,Evet,0 - 150,Hayır
2741,Bağcılar,18000.0,240.0,5-10 arası,14,25,Merkezi (Pay Ölçer),2,Var,Hayır,Evet,Emlak Ofisinden,Avrupa,3.5,1.0,Hayır,0 - 150,Hayır
2742,Avcılar,8500.0,220.0,11-15 arası,4,5,Doğalgaz (Kombi),2,Var,Hayır,Hayır,Emlak Ofisinden,Avrupa,4.0,1.0,Hayır,0 - 150,Hayır
2743,Beylikdüzü,13500.0,160.0,0-5 arası,4,11,Doğalgaz (Kombi),2,Var,Evet,Evet,Emlak Ofisinden,Avrupa,2.5,1.0,Hayır,300 - 500,Evet
2744,Bağcılar,3000.0,98.0,16-20 arası,2,2,Soba,1,Var,Hayır,Hayır,Emlak Ofisinden,Avrupa,3.0,1.0,Hayır,0 - 150,Hayır
2745,Avcılar,3900.0,125.0,26-30 arası,0,5,Kat Kaloriferi,1,Var,Hayır,Hayır,Sahibinden,Avrupa,3.0,1.0,Hayır,0 - 150,Hayır
2746,Şişli,12000.0,100.0,16-20 arası,0,6,Doğalgaz (Kombi),1,Yok,Evet,Hayır,Emlak Ofisinden,Avrupa,3.0,1.0,Hayır,0 - 150,Hayır
2747,Şişli,7000.0,60.0,5-10 arası,0,6,Doğalgaz (Kombi),1,Yok,Evet,Hayır,Sahibinden,Avrupa,1.0,1.0,Hayır,0 - 150,Hayır
2748,Bahçelievler,3750.0,80.0,31 ve üzeri,1,5,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,0 - 150,Hayır
2749,Bahçelievler,5750.0,75.0,0-5 arası,8,11,Merkezi,1,Var,Hayır,Evet,Emlak Ofisinden,Avrupa,1.0,1.0,Hayır,150 - 300,Hayır
2750,Başakşehir,8500.0,148.0,0-5 arası,11,15,Merkezi (Pay Ölçer),2,Yok,Evet,Evet,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,300 - 500,Hayır
2751,Fatih,12000.0,75.0,0-5 arası,4,4,Doğalgaz (Kombi),1,Var,Evet,Hayır,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,0 - 150,Hayır
2752,Büyükçekmece,6000.0,100.0,11-15 arası,2,7,Doğalgaz (Kombi),1,Var,Hayır,Evet,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,300 - 500,Hayır
2753,Beyoğlu,20000.0,65.0,31 ve üzeri,3,5,Klima,1,Var,Evet,Hayır,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,0 - 150,Hayır
2754,Küçükçekmece,4500.0,70.0,21-25 arası,1,5,Merkezi (Pay Ölçer),1,Yok,Evet,Evet,Emlak Ofisinden,Avrupa,1.0,1.0,Hayır,300 - 500,Hayır
2755,Esenyurt,3500.0,80.0,0-5 arası,0,4,Doğalgaz (Kombi),1,Yok,Evet,Hayır,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,0 - 150,Hayır
2756,Başakşehir,3500.0,120.0,11-15 arası,7,12,Merkezi (Pay Ölçer),1,Var,Evet,Evet,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,300 - 500,Hayır
2757,Başakşehir,15000.0,120.0,0-5 arası,25,29,Doğalgaz (Kombi),2,Var,Evet,Evet,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,750 - 1000,Evet
2758,Beyoğlu,6500.0,70.0,16-20 arası,-1,5,Doğalgaz (Kombi),1,Yok,Hayır,Hayır,Sahibinden,Avrupa,1.0,1.0,Hayır,0 - 150,Hayır
2759,Bahçelievler,8000.0,90.0,0-5 arası,0,4,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,0 - 150,Hayır
2760,Çatalca,3500.0,85.0,0-5 arası,5,6,Kat Kaloriferi,1,Var,Hayır,Hayır,Sahibinden,Avrupa,2.0,1.0,Hayır,150 - 300,Hayır
2761,Küçükçekmece,5500.0,120.0,5-10 arası,3,3,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Sahibinden,Avrupa,2.0,1.0,Hayır,0 - 150,Hayır
2762,Eyüpsultan,17500.0,200.0,16-20 arası,2,4,Doğalgaz (Kombi),3,Var,Evet,Hayır,Emlak Ofisinden,Avrupa,4.0,1.0,Hayır,0 - 150,Hayır
2763,Beylikdüzü,6500.0,140.0,16-20 arası,14,14,Doğalgaz (Kombi),1,Var,Hayır,Evet,Emlak Ofisinden,Avrupa,3.0,1.0,Hayır,300 - 500,Hayır
2764,Beşiktaş,11500.0,85.0,31 ve üzeri,2,5,Merkezi,1,Yok,Hayır,Hayır,Emlak Ofisinden,Avrupa,2.0,1.0,Evet,150 - 300,Hayır
2765,Kağıthane,10000.0,120.0,5-10 arası,3,4,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Emlak Ofisinden,Avrupa,3.0,1.0,Hayır,0 - 150,Evet
2766,Güngören,4500.0,120.0,26-30 arası,5,6,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Sahibinden,Avrupa,3.0,1.0,Hayır,0 - 150,Hayır
2767,Beşiktaş,9900.0,90.0,31 ve üzeri,2,3,Doğalgaz (Kombi),1,Var,Evet,Hayır,Sahibinden,Avrupa,2.0,1.0,Hayır,0 - 150,Hayır
2768,Arnavutköy,2750.0,100.0,5-10 arası,2,2,Doğalgaz Sobası,1,Var,Hayır,Hayır,İnşaat Firmasından,Avrupa,2.0,1.0,Hayır,150 - 300,Hayır
2769,Beşiktaş,15000.0,110.0,31 ve üzeri,5,5,Doğalgaz (Kombi),1,Var,Evet,Hayır,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,0 - 150,Hayır
2770,Şişli,5000.0,80.0,5-10 arası,1,8,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,0 - 150,Hayır
2771,Küçükçekmece,5000.0,100.0,16-20 arası,0,4,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,0 - 150,Hayır
2772,Küçükçekmece,3700.0,32.0,5-10 arası,14,16,Merkezi (Pay Ölçer),1,Yok,Hayır,Evet,Emlak Ofisinden,Avrupa,1.0,0.0,Hayır,300 - 500,Hayır
2773,Esenyurt,6000.0,127.0,5-10 arası,19,23,Merkezi (Pay Ölçer),2,Var,Hayır,Evet,Emlak Ofisinden,Avrupa,3.0,1.0,Hayır,500 - 750,Hayır
2774,Sultangazi,5000.0,130.0,31 ve üzeri,2,4,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,0 - 150,Hayır
2775,Eyüpsultan,13000.0,195.0,5-10 arası,4,5,Doğalgaz (Kombi),2,Yok,Evet,Hayır,Emlak Ofisinden,Avrupa,3.0,2.0,Hayır,0 - 150,Hayır
2776,Büyükçekmece,16000.0,203.0,0-5 arası,8,8,Merkezi (Pay Ölçer),3,Var,Hayır,Evet,Emlak Ofisinden,Avrupa,4.0,1.0,Hayır,500 - 750,Hayır
2777,Fatih,4500.0,80.0,11-15 arası,4,5,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Sahibinden,Avrupa,1.0,1.0,Hayır,0 - 150,Hayır
2778,Kağıthane,13500.0,165.0,21-25 arası,4,5,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Sahibinden,Avrupa,2.0,1.0,Hayır,0 - 150,Hayır
2779,Sarıyer,9000.0,45.0,0-5 arası,7,17,Merkezi (Pay Ölçer),1,Yok,Hayır,Evet,Emlak Ofisinden,Avrupa,1.0,0.0,Hayır,0 - 150,Hayır
2780,Bağcılar,6000.0,110.0,5-10 arası,2,4,Doğalgaz (Kombi),3,Var,Hayır,Hayır,Sahibinden,Avrupa,3.0,1.0,Hayır,0 - 150,Hayır
2781,Zeytinburnu,6750.0,75.0,16-20 arası,2,4,Doğalgaz (Kombi),1,Yok,Evet,Hayır,Emlak Ofisinden,Avrupa,1.0,1.0,Hayır,0 - 150,Hayır
2782,Avcılar,4000.0,105.0,16-20 arası,0,4,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Sahibinden,Avrupa,2.0,1.0,Evet,0 - 150,Hayır
2783,Esenyurt,3500.0,100.0,0-5 arası,0,5,Doğalgaz (Kombi),2,Var,Hayır,Hayır,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,0 - 150,Hayır
2784,Güngören,7000.0,150.0,31 ve üzeri,3,4,Doğalgaz (Kombi),1,Var,Evet,Hayır,Emlak Ofisinden,Avrupa,3.0,1.0,Hayır,0 - 150,Hayır
2785,Küçükçekmece,11000.0,92.0,5-10 arası,6,18,Merkezi (Pay Ölçer),2,Var,Hayır,Evet,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,500 - 750,Hayır
2786,Beşiktaş,20000.0,82.0,0-5 arası,1,5,Doğalgaz (Kombi),1,Yok,Hayır,Hayır,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,300 - 500,Hayır
2787,Beylikdüzü,6500.0,65.0,0-5 arası,1,9,Merkezi (Pay Ölçer),1,Var,Hayır,Hayır,Sahibinden,Avrupa,1.0,1.0,Hayır,150 - 300,Hayır
2788,Beşiktaş,17500.0,105.0,31 ve üzeri,2,3,Doğalgaz (Kombi),1,Var,Evet,Hayır,Emlak Ofisinden,Avrupa,2.0,1.0,Evet,0 - 150,Hayır
2789,Zeytinburnu,4600.0,85.0,31 ve üzeri,2,5,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,0 - 150,Hayır
2790,Kağıthane,8500.0,80.0,0-5 arası,7,14,Merkezi (Pay Ölçer),1,Var,Hayır,Evet,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,500 - 750,Hayır
2791,Bakırköy,15500.0,100.0,31 ve üzeri,6,14,Merkezi,1,Var,Evet,Evet,Sahibinden,Avrupa,2.0,1.0,Hayır,300 - 500,Hayır
2792,Beylikdüzü,10500.0,165.0,5-10 arası,7,9,Merkezi (Pay Ölçer),2,Var,Hayır,Evet,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,300 - 500,Hayır
2793,Fatih,16000.0,100.0,31 ve üzeri,1,5,Doğalgaz (Kombi),1,Var,Evet,Hayır,Sahibinden,Avrupa,2.0,1.0,Hayır,0 - 150,Evet
2794,Küçükçekmece,8750.0,118.0,0-5 arası,8,19,Merkezi (Pay Ölçer),2,Var,Hayır,Evet,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,500 - 750,Hayır
2795,Zeytinburnu,6500.0,50.0,0-5 arası,13,17,Merkezi (Pay Ölçer),1,Yok,Hayır,Evet,Emlak Ofisinden,Avrupa,1.0,1.0,Hayır,300 - 500,Hayır
2796,Beylikdüzü,4000.0,84.0,5-10 arası,28,31,Merkezi (Pay Ölçer),1,Yok,Evet,Evet,Emlak Ofisinden,Avrupa,1.0,1.0,Hayır,300 - 500,Hayır
2797,Zeytinburnu,4000.0,85.0,21-25 arası,-1,4,Doğalgaz (Kombi),1,Yok,Hayır,Hayır,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,0 - 150,Hayır
2798,Beşiktaş,15000.0,110.0,5-10 arası,4,5,Doğalgaz (Kombi),1,Var,Evet,Hayır,Emlak Ofisinden,Avrupa,3.0,1.0,Hayır,0 - 150,Hayır
2799,Esenyurt,4000.0,90.0,5-10 arası,4,4,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,0 - 150,Hayır
2800,Küçükçekmece,4000.0,90.0,26-30 arası,6,6,Doğalgaz Sobası,1,Var,Evet,Hayır,Sahibinden,Avrupa,2.0,1.0,Hayır,0 - 150,Hayır
2801,Şişli,8500.0,85.0,0-5 arası,2,4,Doğalgaz (Kombi),1,Yok,Evet,Hayır,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,0 - 150,Hayır
2802,Arnavutköy,3250.0,130.0,0-5 arası,0,5,Doğalgaz (Kombi),2,Yok,Hayır,Hayır,Emlak Ofisinden,Avrupa,3.0,1.0,Hayır,0 - 150,Hayır
2803,Kağıthane,9500.0,45.0,0-5 arası,9,14,Merkezi (Pay Ölçer),1,Yok,Hayır,Evet,Emlak Ofisinden,Avrupa,1.0,0.0,Hayır,500 - 750,Hayır
2804,Başakşehir,6000.0,65.0,0-5 arası,13,18,Merkezi (Pay Ölçer),1,Var,Hayır,Evet,Emlak Ofisinden,Avrupa,1.0,1.0,Hayır,500 - 750,Hayır
2805,Bağcılar,3500.0,75.0,0-5 arası,0,5,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Emlak Ofisinden,Avrupa,1.0,1.0,Hayır,0 - 150,Evet
2806,Eyüpsultan,10500.0,63.0,0-5 arası,2,5,Merkezi (Pay Ölçer),1,Var,Hayır,Evet,Emlak Ofisinden,Avrupa,1.0,1.0,Hayır,150 - 300,Hayır
2807,Küçükçekmece,6000.0,120.0,5-10 arası,3,4,Doğalgaz (Kombi),1,Var,Evet,Hayır,Emlak Ofisinden,Avrupa,3.0,1.0,Evet,0 - 150,Hayır
2808,Fatih,7750.0,100.0,21-25 arası,7,7,Doğalgaz (Kombi),1,Var,Evet,Hayır,Sahibinden,Avrupa,1.0,1.0,Hayır,0 - 150,Hayır
2809,Büyükçekmece,4500.0,95.0,5-10 arası,0,6,Yerden Isıtma,1,Yok,Evet,Hayır,Sahibinden,Avrupa,1.0,0.0,Hayır,150 - 300,Hayır
2810,Avcılar,4250.0,90.0,5-10 arası,0,5,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Sahibinden,Avrupa,1.0,1.0,Hayır,0 - 150,Hayır
2811,Beylikdüzü,7750.0,180.0,16-20 arası,8,12,Doğalgaz (Kombi),3,Var,Hayır,Evet,Sahibinden,Avrupa,3.0,1.0,Evet,150 - 300,Hayır
2812,Eyüpsultan,6500.0,95.0,0-5 arası,7,9,Merkezi (Pay Ölçer),2,Var,Hayır,Evet,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,150 - 300,Evet
2813,Eyüpsultan,10250.0,120.0,5-10 arası,1,31,Merkezi (Pay Ölçer),2,Var,Hayır,Evet,Emlak Ofisinden,Avrupa,1.0,1.0,Hayır,0 - 150,Hayır
2814,Beylikdüzü,15000.0,164.0,5-10 arası,11,13,Merkezi (Pay Ölçer),2,Var,Evet,Evet,Emlak Ofisinden,Avrupa,3.0,1.0,Hayır,750 - 1000,Hayır
2815,Eyüpsultan,10250.0,170.0,0-5 arası,3,4,Doğalgaz (Kombi),2,Var,Hayır,Hayır,Emlak Ofisinden,Avrupa,4.0,1.0,Hayır,0 - 150,Hayır
2816,Beşiktaş,12000.0,135.0,21-25 arası,4,4,Doğalgaz (Kombi),2,Var,Hayır,Hayır,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,0 - 150,Hayır
2817,Beyoğlu,12000.0,75.0,0-5 arası,1,7,Yerden Isıtma,1,Var,Evet,Evet,Emlak Ofisinden,Avrupa,1.0,1.0,Hayır,750 - 1000,Hayır
2818,Beşiktaş,15000.0,135.0,31 ve üzeri,1,5,Merkezi,1,Var,Hayır,Hayır,Emlak Ofisinden,Avrupa,3.0,1.0,Hayır,300 - 500,Hayır
2819,Küçükçekmece,6500.0,130.0,26-30 arası,2,6,Doğalgaz (Kombi),1,Var,Evet,Hayır,Emlak Ofisinden,Avrupa,3.0,1.0,Hayır,0 - 150,Hayır
2820,Esenyurt,3750.0,100.0,5-10 arası,1,5,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Sahibinden,Avrupa,2.0,1.0,Hayır,0 - 150,Hayır
2821,Esenler,8750.0,124.0,5-10 arası,6,17,Merkezi (Pay Ölçer),2,Yok,Hayır,Evet,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,300 - 500,Hayır
2822,Eyüpsultan,17500.0,142.0,0-5 arası,0,15,Merkezi (Pay Ölçer),2,Var,Hayır,Evet,Sahibinden,Avrupa,2.0,1.0,Hayır,150 - 300,Hayır
2823,Kağıthane,5000.0,80.0,0-5 arası,1,8,Doğalgaz Sobası,1,Var,Hayır,Hayır,Sahibinden,Avrupa,2.0,1.0,Hayır,0 - 150,Hayır
2824,Esenyurt,5500.0,120.0,5-10 arası,10,15,Merkezi (Pay Ölçer),1,Yok,Evet,Evet,Sahibinden,Avrupa,2.0,1.0,Hayır,300 - 500,Evet
2825,Şişli,8500.0,70.0,5-10 arası,2,5,Doğalgaz (Kombi),1,Yok,Evet,Hayır,Sahibinden,Avrupa,1.0,1.0,Hayır,0 - 150,Hayır
2826,Beşiktaş,16000.0,80.0,31 ve üzeri,2,3,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,0 - 150,Hayır
2827,Esenyurt,9000.0,101.0,21-25 arası,5,6,Doğalgaz (Kombi),1,Var,Evet,Hayır,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,150 - 300,Hayır
2828,Kağıthane,5650.0,80.0,0-5 arası,0,5,Doğalgaz (Kombi),2,Var,Hayır,Hayır,Emlak Ofisinden,Avrupa,1.0,1.0,Hayır,0 - 150,Hayır
