,ilce,fiyat,m2_brut,bina_yasi,bulundugu_kat,kat_sayisi,isitma,banyo_sayisi,balkon,esyali,site_icerisinde,kimden,yaka,oda,salon,merkeze_yakin,aidat_aralik,luks_mu
69,Tuzla,6000.0,72.0,5-10 arası,4,12,Merkezi (Pay Ölçer),1,Var,Evet,Evet,Emlak Ofisinden,Anadolu,1.0,1.0,Hayır,300 - 500,Hayır
70,Sultanbeyli,5000.0,98.0,0-5 arası,2,8,Merkezi (Pay Ölçer),1,Yok,Hayır,Evet,Emlak Ofisinden,Anadolu,2.0,1.0,Hayır,500 - 750,Hayır
71,Çekmeköy,4250.0,80.0,0-5 arası,3,7,Doğalgaz (Kombi),2,Var,Hayır,Hayır,Emlak Ofisinden,Anadolu,2.0,1.0,Hayır,0 - 150,Hayır
72,Kadıköy,14500.0,90.0,11-15 arası,3,9,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Emlak Ofisinden,Anadolu,2.0,1.0,Hayır,300 - 500,Hayır
73,Ümraniye,5500.0,56.0,16-20 arası,12,15,Doğalgaz (Kombi),1,Yok,Hayır,Evet,Emlak Ofisinden,Anadolu,1.0,1.0,Hayır,500 - 750,Hayır
74,Pendik,5000.0,98.0,0-5 arası,5,8,Merkezi (Pay Ölçer),1,Var,Hayır,Evet,Sahibinden,Anadolu,2.0,1.0,Hayır,500 - 750,Hayır
75,Ümraniye,5300.0,95.0,5-10 arası,1,4,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Emlak Ofisinden,Anadolu,2.0,1.0,Hayır,0 - 150,Hayır
76,Sultanbeyli,4100.0,85.0,0-5 arası,6,7,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Emlak Ofisinden,Anadolu,2.0,1.0,Evet,0 - 150,Hayır
77,Üsküdar,2850.0,40.0,26-30 arası,0,4,Yok,1,Yok,Evet,Hayır,Emlak Ofisinden,Anadolu,1.0,0.0,Evet,0 - 150,Hayır
78,Üsküdar,10000.0,250.0,16-20 arası,5,5,Doğalgaz (Kombi),2,Var,Hayır,Hayır,Emlak Ofisinden,Anadolu,4.0,1.0,Hayır,0 - 150,Hayır
79,Kadıköy,13500.0,90.0,0-5 arası,3,13,Merkezi (Pay Ölçer),1,Var,Hayır,Hayır,Emlak Ofisinden,Anadolu,2.0,1.0,Hayır,300 - 500,Hayır
80,Pendik,5000.0,95.0,11-15 arası,2,3,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Emlak Ofisinden,Anadolu,2.0,1.0,Hayır,0 - 150,Hayır
81,Kartal,12000.0,220.0,0-5 arası,15,20,Merkezi (Pay Ölçer),2,Var,Hayır,Evet,İnşaat Firmasından,Anadolu,3.0,1.0,Hayır,500 - 750,Hayır
82,Tuzla,6250.0,145.0,31 ve üzeri,1,4,Doğalgaz (Kombi),1,Var,Hayır,Evet,Emlak Ofisinden,Anadolu,3.0,1.0,Hayır,150 - 300,Hayır
83,Sancaktepe,5000.0,130.0,0-5 arası,2,4,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Emlak Ofisinden,Anadolu,2.0,1.0,Hayır,0 - 150,Hayır
84,Kadıköy,13000.0,148.0,11-15 arası,11,13,Doğalgaz (Kombi),2,Var,Hayır,Evet,Emlak Ofisinden,Anadolu,3.0,1.0,Hayır,0 - 150,Hayır
85,Maltepe,6450.0,125.0,5-10 arası,4,5,Doğalgaz (Kombi),1,Yok,Hayır,Hayır,Emlak Ofisinden,Anadolu,3.0,1.0,Hayır,0 - 150,Hayır
86,Üsküdar,10500.0,210.0,16-20 arası,2,5,Doğalgaz (Kombi),2,Var,Evet,Hayır,Emlak Ofisinden,Anadolu,3.0,1.0,Hayır,0 - 150,Hayır
87,Kartal,9500.0,134.0,5-10 arası,7,31,Merkezi (Pay Ölçer),1,Yok,Hayır,Evet,Emlak Ofisinden,Anadolu,3.0,1.0,Hayır,0 - 150,Hayır
88,Kartal,8150.0,90.0,5-10 arası,1,10,Doğalgaz (Kombi),2,Var,Hayır,Evet,Emlak Ofisinden,Anadolu,2.0,1.0,Hayır,0 - 150,Hayır
89,Üsküdar,2250.0,90.0,26-30 arası,2,5,Doğalgaz (Kombi),1,Var,Evet,Hayır,Sahibinden,Anadolu,2.0,1.0,Hayır,0 - 150,Hayır
90,Pendik,14000.0,180.0,0-5 arası,0,8,Merkezi (Pay Ölçer),2,Yok,Hayır,Evet,Emlak Ofisinden,Anadolu,3.0,1.0,Hayır,750 - 1000,Hayır
91,Çekmeköy,8500.0,135.0,16-20 arası,8,8,Doğalgaz (Kombi),2,Var,Hayır,Evet,Emlak Ofisinden,Anadolu,3.0,1.0,Hayır,500 - 750,Hayır
92,Kadıköy,9000.0,100.0,26-30 arası,3,3,Merkezi (Pay Ölçer),1,Var,Evet,Evet,Sahibinden,Anadolu,3.0,1.0,Hayır,150 - 300,Hayır
93,Kadıköy,5000.0,80.0,26-30 arası,1,5,Doğalgaz (Kombi),1,Var,Evet,Hayır,Emlak Ofisinden,Anadolu,1.0,1.0,Hayır,0 - 150,Hayır
94,Beykoz,10500.0,180.0,16-20 arası,4,8,Doğalgaz (Kombi),3,Var,Hayır,Hayır,Emlak Ofisinden,Anadolu,3.0,1.0,Evet,0 - 150,Hayır
95,Üsküdar,4500.0,85.0,26-30 arası,0,4,Doğalgaz (Kombi),1,Yok,Hayır,Hayır,Emlak Ofisinden,Anadolu,2.0,1.0,Hayır,0 - 150,Hayır
96,Üsküdar,15000.0,250.0,16-20 arası,2,2,Doğalgaz (Kombi),3,Var,Hayır,Hayır,Emlak Ofisinden,Anadolu,4.0,2.0,Hayır,0 - 150,Hayır
97,Üsküdar,7500.0,120.0,11-15 arası,1,5,Merkezi (Pay Ölçer),1,Yok,Evet,Evet,Emlak Ofisinden,Anadolu,3.0,1.0,Hayır,500 - 750,Hayır
98,Beykoz,2750.0,30.0,26-30 arası,2,4,Yerden Isıtma,1,Yok,Evet,Evet,Sahibinden,Anadolu,3.0,1.0,Hayır,0 - 150,Hayır
99,Sancaktepe,10500.0,151.0,5-10 arası,2,5,Merkezi (Pay Ölçer),2,Var,Hayır,Evet,Emlak Ofisinden,Anadolu,3.5,1.0,Hayır,0 - 150,Hayır
100,Ataşehir,9000.0,115.0,0-5 arası,15,31,Merkezi (Pay Ölçer),1,Var,Hayır,Evet,Emlak Ofisinden,Anadolu,2.0,1.0,Hayır,500 - 750,Hayır
101,Pendik,4250.0,95.0,26-30 arası,1,5,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Sahibinden,Anadolu,2.0,1.0,Hayır,0 - 150,Hayır
102,Kadıköy,8250.0,65.0,26-30 arası,4,4,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Emlak Ofisinden,Anadolu,1.0,1.0,Hayır,0 - 150,Hayır
103,Kartal,7000.0,97.0,0-5 arası,26,31,Merkezi (Pay Ölçer),1,Var,Hayır,Evet,Emlak Ofisinden,Anadolu,1.0,1.0,Hayır,0 - 150,Hayır
104,Ümraniye,10000.0,135.0,5-10 arası,13,13,Doğalgaz (Kombi),2,Yok,Hayır,Evet,Emlak Ofisinden,Anadolu,3.0,1.0,Hayır,500 - 750,Hayır
105,Maltepe,11500.0,133.0,0-5 arası,6,16,Merkezi (Pay Ölçer),2,Yok,Hayır,Evet,Emlak Ofisinden,Anadolu,3.0,1.0,Hayır,750 - 1000,Evet
106,Ümraniye,4750.0,110.0,5-10 arası,2,5,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Emlak Ofisinden,Anadolu,3.0,1.0,Hayır,0 - 150,Hayır
107,Kadıköy,12500.0,140.0,31 ve üzeri,10,10,Merkezi (Pay Ölçer),1,Var,Hayır,Hayır,Emlak Ofisinden,Anadolu,3.0,1.0,Hayır,300 - 500,Hayır
108,Tuzla,3600.0,85.0,5-10 arası,2,7,Merkezi (Pay Ölçer),1,Var,Hayır,Evet,Emlak Ofisinden,Anadolu,2.0,1.0,Hayır,300 - 500,Hayır
109,Ataşehir,16990.0,60.0,5-10 arası,3,31,Doğalgaz (Kombi),1,Yok,Evet,Evet,Emlak Ofisinden,Anadolu,1.0,1.0,Hayır,0 - 150,Hayır
110,Kadıköy,17500.0,135.0,0-5 arası,4,8,Merkezi (Pay Ölçer),2,Yok,Hayır,Hayır,Emlak Ofisinden,Anadolu,3.0,1.0,Hayır,300 - 500,Hayır
111,Pendik,4700.0,100.0,0-5 arası,4,8,Merkezi (Pay Ölçer),1,Var,Hayır,Evet,Emlak Ofisinden,Anadolu,1.0,1.0,Hayır,500 - 750,Hayır
112,Pendik,5800.0,55.0,5-10 arası,1,9,Merkezi (Pay Ölçer),1,Var,Evet,Evet,Emlak Ofisinden,Anadolu,1.0,1.0,Hayır,500 - 750,Evet
113,Kadıköy,19500.0,120.0,0-5 arası,8,20,Merkezi (Pay Ölçer),2,Var,Hayır,Hayır,Emlak Ofisinden,Anadolu,3.0,1.0,Hayır,500 - 750,Hayır
114,Pendik,4500.0,68.0,5-10 arası,3,14,Merkezi (Pay Ölçer),1,Yok,Evet,Evet,Emlak Ofisinden,Anadolu,1.0,1.0,Hayır,300 - 500,Hayır
115,Kartal,6000.0,86.0,0-5 arası,20,31,Merkezi (Pay Ölçer),1,Var,Hayır,Evet,Emlak Ofisinden,Anadolu,1.0,1.0,Hayır,500 - 750,Hayır
116,Ümraniye,2700.0,75.0,21-25 arası,0,3,Doğalgaz (Kombi),1,Yok,Hayır,Hayır,Emlak Ofisinden,Anadolu,2.0,1.0,Hayır,0 - 150,Hayır
117,Kartal,6500.0,55.0,0-5 arası,14,27,Merkezi (Pay Ölçer),1,Yok,Evet,Evet,Emlak Ofisinden,Anadolu,1.0,0.0,Hayır,0 - 150,Hayır
118,Tuzla,6250.0,55.0,11-15 arası,2,2,Doğalgaz (Kombi),1,Yok,Evet,Evet,Emlak Ofisinden,Anadolu,1.0,1.0,Hayır,500 - 750,Hayır
119,Kadıköy,20000.0,148.0,31 ve üzeri,3,5,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Sahibinden,Anadolu,4.0,1.0,Hayır,0 - 150,Hayır
120,Maltepe,5750.0,95.0,5-10 arası,1,3,Doğalgaz (Kombi),1,Yok,Evet,Hayır,Emlak Ofisinden,Anadolu,2.0,1.0,Hayır,0 - 150,Evet
121,Kadıköy,12000.0,125.0,0-5 arası,3,10,Merkezi (Pay Ölçer),2,Var,Hayır,Hayır,Emlak Ofisinden,Anadolu,3.0,1.0,Hayır,300 - 500,Hayır
122,Kadıköy,8500.0,45.0,21-25 arası,4,5,Klima,1,Yok,Evet,Hayır,Sahibinden,Anadolu,1.0,0.0,Hayır,0 - 150,Hayır
123,Pendik,4000.0,80.0,0-5 arası,1,6,Doğalgaz (Kombi),1,Var,Evet,Hayır,Emlak Ofisinden,Anadolu,2.0,1.0,Hayır,150 - 300,Hayır
124,Kartal,6500.0,115.0,21-25 arası,2,4,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Emlak Ofisinden,Anadolu,2.0,1.0,Hayır,0 - 150,Hayır
125,Tuzla,4750.0,85.0,5-10 arası,1,13,Doğalgaz (Kombi),1,Var,Evet,Evet,Emlak Ofisinden,Anadolu,2.0,1.0,Hayır,300 - 500,Hayır
126,Ümraniye,6200.0,65.0,5-10 arası,1,3,Doğalgaz (Kombi),1,Yok,Evet,Hayır,Emlak Ofisinden,Anadolu,1.0,1.0,Hayır,0 - 150,Hayır
127,Ümraniye,4750.0,90.0,11-15 arası,1,5,Doğalgaz (Kombi),2,Var,Hayır,Hayır,Sahibinden,Anadolu,2.0,1.0,Evet,0 - 150,Hayır
128,Maltepe,8500.0,120.0,16-20 arası,9,10,Doğalgaz (Kombi),1,Var,Evet,Hayır,Sahibinden,Anadolu,3.0,1.0,Evet,0 - 150,Hayır
129,Ümraniye,6000.0,100.0,0-5 arası,1,4,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Emlak Ofisinden,Anadolu,2.0,1.0,Hayır,0 - 150,Hayır
130,Ataşehir,6000.0,120.0,11-15 arası,3,6,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Emlak Ofisinden,Anadolu,2.0,1.0,Hayır,0 - 150,Hayır
131,Kadıköy,14000.0,145.0,26-30 arası,2,7,Merkezi,2,Var,Hayır,Evet,Emlak Ofisinden,Anadolu,3.0,1.0,Hayır,300 - 500,Hayır
132,Kartal,4250.0,110.0,26-30 arası,3,4,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Sahibinden,Anadolu,3.0,1.0,Hayır,0 - 150,Hayır
133,Pendik,15000.0,189.0,5-10 arası,2,3,Merkezi (Pay Ölçer),2,Var,Evet,Evet,Emlak Ofisinden,Anadolu,3.0,1.0,Hayır,500 - 750,Hayır
134,Çekmeköy,8000.0,220.0,5-10 arası,2,2,Doğalgaz (Kombi),2,Var,Hayır,Hayır,Emlak Ofisinden,Anadolu,3.0,2.0,Hayır,150 - 300,Hayır
135,Ataşehir,12000.0,74.0,0-5 arası,13,31,Merkezi (Pay Ölçer),1,Var,Evet,Evet,Emlak Ofisinden,Anadolu,1.0,1.0,Hayır,750 - 1000,Evet
136,Beykoz,6500.0,150.0,26-30 arası,3,3,Doğalgaz (Kombi),2,Var,Hayır,Hayır,Emlak Ofisinden,Anadolu,4.0,1.0,Hayır,0 - 150,Evet
137,Kadıköy,14000.0,110.0,0-5 arası,5,8,Doğalgaz (Kombi),2,Var,Hayır,Hayır,Emlak Ofisinden,Anadolu,3.0,1.0,Hayır,150 - 300,Hayır
138,Pendik,4000.0,80.0,0-5 arası,1,6,Doğalgaz (Kombi),1,Yok,Hayır,Hayır,Emlak Ofisinden,Anadolu,2.0,1.0,Hayır,0 - 150,Hayır
139,Ataşehir,3000.0,70.0,16-20 arası,0,1,Doğalgaz Sobası,1,Var,Hayır,Hayır,Sahibinden,Anadolu,1.0,1.0,Hayır,0 - 150,Hayır
140,Ataşehir,5100.0,31.0,5-10 arası,31,31,Merkezi (Pay Ölçer),1,Yok,Evet,Evet,Emlak Ofisinden,Anadolu,1.0,0.0,Hayır,750 - 1000,Hayır
